MediaCanalR,MediaCanalG,MediaCanalB,MedianaR,MedianaG,MedianaB,ModaR,ModaG,ModaB,DesviacionEstandarR,DesviacionEstandarG,DesviacionEstandarB,MedioEscalaDeGrises,DesviacionEstandarEscalaDeGris,MedianaEscalaDeGris,ModaEscalaDeGris,MediaH,MediaS,MediaV,DesviacionEstandarH,DesviacionEstandarS,DesviacionEstandarV,MedianaH,MedianaS,MedianaV,ModaH,ModaS,ModaV,EntropiaEscalaDeGrises,EntropiaR,EntropiaG,EntropiaB,Class
15.3,100.07,197.36,3,47,52,0,30,255,23.18,83.26,52.44,117.51,63.39,74,68,213.55,93.74,79.35,22.03,9.08,17.6,225.95,98.27,72.16,229.94,100,100,6.85,4.57,7.06,5.97,I
105.89,110.81,108.86,98,107,110,92,109,112,22.99,23.74,22.03,109.64,20.88,107,109,147.39,10.4,44.92,85.24,9.44,9.08,198,9.01,43.53,198,8.93,43.92,5.97,5.64,6,6.17,H
22.98,82.05,207.97,22,78,245,21,60,255,12.62,39.77,63.41,112.63,35.51,122,125,223.18,85.98,82.7,16.49,13.24,23.32,224.85,90.76,96.08,230.85,100,100,7.01,5.6,7.08,6.11,I
218.66,223.92,206.37,229,229,212,238,239,213,32.66,17.3,28.38,219.01,16.18,223,228,73.5,8.55,88.45,36.48,11.46,6.67,60,6.01,90.59,60,4.98,93.73,5.59,5.76,5.65,5.6,H
56.61,69.94,78.94,58,68,80,62,66,81,12.08,17.88,9.23,70.39,8.01,70,69,209.07,29.61,31.85,11.23,11.68,6.22,210,26.67,31.37,210,23.26,31.76,5.01,5.49,5.18,4.78,H
7.34,108.57,218.86,5,107,113,0,92,255,9.06,47.06,47.88,129.58,37.29,8,146,211.88,96.8,87.19,14.31,3.92,15.98,214.74,97.86,94.51,215.94,100,100,7.11,4.24,7.44,6.26,I
51.36,72.89,91.55,52,70,93,47,79,94,10.65,24.72,15.1,74.54,10.12,75,79,212.99,45.28,37.69,17.05,9.49,8.34,216,44.32,36.86,220,53,36.86,5.37,5.24,5.63,5.5,N
82.28,92.76,82.63,76,85,77,70,81,74,26.06,31.26,27.19,86.61,24.11,81,78,119.61,12.64,36.74,49.72,12.84,12.5,120,10,33.33,120,10,31.76,6.49,6.42,6.56,6.59,N
42.36,62.96,134.64,43,56,130,47,52,107,9.85,31.55,43.23,80.13,18.3,78,65,227.68,67.23,55.08,20.35,11.28,16.12,232.13,68.7,52.94,240,98.31,41.57,6.15,5.05,5.86,7.2,I
58.9,140.08,238.52,62,15,121,0,110,255,27.67,36.16,33.09,161.26,28,37,173,212.17,76.21,94.88,12.43,10.78,7.7,214.43,74.69,97.65,214.33,100,100,6.75,6.65,7.14,4.84,I
